#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  33
# Band-Index:    1
   1.73407    -10.792874  0.454  0.026  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.74849    -10.771093  0.454  0.026  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.76292    -10.748138  0.454  0.026  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.582
   1.77735    -10.724010  0.452  0.028  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.584
   1.79178    -10.698710  0.452  0.028  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.584
   1.80620    -10.672238  0.452  0.028  0.040  0.062  0.000  0.000  0.000  0.000  0.000  0.584
   1.82063    -10.644573  0.450  0.030  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.83506    -10.615749  0.450  0.030  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.84949    -10.585770  0.450  0.032  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.86391    -10.554623  0.448  0.032  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.87834    -10.522331  0.448  0.032  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.89277    -10.488853  0.446  0.034  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.90720    -10.454203  0.446  0.034  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.92163    -10.418396  0.444  0.036  0.040  0.064  0.000  0.000  0.000  0.000  0.000  0.584
   1.93605    -10.381426  0.444  0.036  0.040  0.066  0.000  0.000  0.000  0.000  0.000  0.584
   1.95048    -10.343295  0.442  0.038  0.040  0.066  0.000  0.000  0.000  0.000  0.000  0.584
   1.96491    -10.303933  0.442  0.038  0.040  0.066  0.000  0.000  0.000  0.000  0.000  0.586
   1.97934    -10.263456  0.440  0.040  0.038  0.066  0.000  0.000  0.000  0.000  0.000  0.586
   1.99376    -10.221849  0.440  0.042  0.038  0.066  0.000  0.000  0.000  0.000  0.000  0.586
   2.00819    -10.179125  0.438  0.042  0.038  0.066  0.000  0.000  0.000  0.000  0.000  0.586
   2.02262    -10.135209  0.436  0.044  0.038  0.066  0.000  0.000  0.000  0.000  0.000  0.586
   2.03705    -10.090140  0.436  0.044  0.038  0.068  0.000  0.000  0.000  0.000  0.000  0.586
   2.05147    -10.043949  0.434  0.046  0.038  0.068  0.000  0.000  0.000  0.000  0.000  0.586
   2.06590     -9.996580  0.434  0.048  0.038  0.068  0.000  0.000  0.000  0.000  0.000  0.586
   2.08033     -9.948063  0.432  0.048  0.038  0.068  0.000  0.000  0.000  0.000  0.000  0.588
   2.09476     -9.898400  0.430  0.050  0.038  0.068  0.000  0.000  0.000  0.000  0.000  0.588
   2.10918     -9.847553  0.430  0.052  0.038  0.070  0.000  0.000  0.000  0.000  0.000  0.588
   2.12361     -9.795601  0.428  0.052  0.038  0.070  0.000  0.000  0.000  0.000  0.000  0.588
   2.13804     -9.742508  0.426  0.054  0.038  0.070  0.000  0.000  0.000  0.000  0.000  0.588
   2.15247     -9.688276  0.426  0.056  0.038  0.070  0.000  0.000  0.000  0.000  0.000  0.588
   2.16689     -9.632964  0.424  0.058  0.038  0.070  0.000  0.000  0.000  0.000  0.000  0.588
   2.18132     -9.576464  0.422  0.058  0.038  0.072  0.000  0.000  0.000  0.000  0.000  0.590
   2.19575     -9.518803  0.420  0.060  0.036  0.072  0.000  0.000  0.000  0.000  0.000  0.590
   2.21018     -9.460067  0.420  0.062  0.036  0.072  0.000  0.000  0.000  0.000  0.000  0.590
   2.22460     -9.400176  0.418  0.064  0.036  0.072  0.000  0.000  0.000  0.000  0.000  0.590
   2.23903     -9.339159  0.416  0.066  0.036  0.072  0.000  0.000  0.000  0.000  0.000  0.590
   2.25346     -9.276994  0.414  0.066  0.036  0.074  0.000  0.000  0.000  0.000  0.000  0.592
   2.26789     -9.213885  0.414  0.068  0.036  0.074  0.000  0.000  0.000  0.000  0.000  0.592
   2.28232     -9.149563  0.412  0.070  0.036  0.074  0.000  0.000  0.000  0.000  0.000  0.592
   2.29674     -9.084080  0.410  0.072  0.036  0.074  0.000  0.000  0.000  0.000  0.000  0.592
   2.31117     -9.017486  0.408  0.074  0.036  0.076  0.000  0.000  0.000  0.000  0.000  0.592
   2.32560     -8.949813  0.406  0.076  0.036  0.076  0.000  0.000  0.000  0.000  0.000  0.594
   2.32560     -8.949813  0.406  0.076  0.036  0.076  0.000  0.000  0.000  0.000  0.000  0.594
   2.35445     -9.095472  0.408  0.080  0.036  0.068  0.000  0.000  0.000  0.000  0.000  0.592
   2.38331     -9.257498  0.410  0.082  0.036  0.062  0.000  0.000  0.000  0.000  0.000  0.590
   2.41216     -9.433150  0.410  0.086  0.036  0.056  0.000  0.000  0.000  0.000  0.000  0.586
   2.44102     -9.619552  0.410  0.088  0.036  0.052  0.000  0.000  0.000  0.000  0.000  0.584
   2.46987     -9.814213  0.408  0.088  0.036  0.048  0.000  0.000  0.000  0.000  0.000  0.580
   2.49873    -10.014820  0.408  0.088  0.036  0.044  0.000  0.000  0.000  0.000  0.000  0.576
   2.52758    -10.219611  0.406  0.088  0.036  0.042  0.000  0.000  0.000  0.000  0.000  0.572
   2.55644    -10.427359  0.406  0.088  0.036  0.040  0.000  0.000  0.000  0.000  0.000  0.568
   2.58529    -10.636385  0.406  0.088  0.036  0.038  0.000  0.000  0.000  0.000  0.000  0.566
   2.61415    -10.846022  0.406  0.086  0.036  0.036  0.000  0.000  0.000  0.000  0.000  0.562
   2.64300    -11.055407  0.406  0.084  0.036  0.034  0.000  0.000  0.000  0.000  0.000  0.558
   2.67186    -11.263779  0.406  0.082  0.036  0.032  0.000  0.000  0.000  0.000  0.000  0.556
   2.70072    -11.470624  0.408  0.080  0.036  0.030  0.000  0.000  0.000  0.000  0.000  0.554
   2.72957    -11.675479  0.408  0.078  0.036  0.030  0.000  0.000  0.000  0.000  0.000  0.550
   2.75843    -11.877903  0.410  0.076  0.036  0.028  0.000  0.000  0.000  0.000  0.000  0.548
   2.78728    -12.077682  0.412  0.072  0.036  0.026  0.000  0.000  0.000  0.000  0.000  0.546
   2.81614    -12.274483  0.412  0.070  0.036  0.026  0.000  0.000  0.000  0.000  0.000  0.544
   2.84499    -12.468076  0.414  0.068  0.036  0.024  0.000  0.000  0.000  0.000  0.000  0.542
   2.87385    -12.658204  0.416  0.066  0.036  0.024  0.000  0.000  0.000  0.000  0.000  0.540
   2.90270    -12.844796  0.418  0.062  0.036  0.022  0.000  0.000  0.000  0.000  0.000  0.538
   2.93156    -13.027588  0.420  0.060  0.036  0.020  0.000  0.000  0.000  0.000  0.000  0.536
   2.96041    -13.206526  0.422  0.058  0.036  0.020  0.000  0.000  0.000  0.000  0.000  0.534
   2.98927    -13.381421  0.424  0.054  0.036  0.018  0.000  0.000  0.000  0.000  0.000  0.532
   3.01812    -13.552208  0.426  0.052  0.036  0.018  0.000  0.000  0.000  0.000  0.000  0.532
   3.04698    -13.718770  0.428  0.050  0.036  0.016  0.000  0.000  0.000  0.000  0.000  0.530
   3.07583    -13.881055  0.430  0.046  0.036  0.016  0.000  0.000  0.000  0.000  0.000  0.528
   3.10469    -14.038993  0.432  0.044  0.036  0.016  0.000  0.000  0.000  0.000  0.000  0.528
   3.13354    -14.192486  0.434  0.042  0.036  0.014  0.000  0.000  0.000  0.000  0.000  0.526
   3.16240    -14.341483  0.436  0.040  0.036  0.014  0.000  0.000  0.000  0.000  0.000  0.524
   3.19125    -14.485974  0.438  0.036  0.036  0.012  0.000  0.000  0.000  0.000  0.000  0.524
   3.22011    -14.625887  0.440  0.034  0.036  0.012  0.000  0.000  0.000  0.000  0.000  0.522
   3.24896    -14.761167  0.442  0.032  0.036  0.010  0.000  0.000  0.000  0.000  0.000  0.522
   3.27782    -14.891792  0.444  0.030  0.036  0.010  0.000  0.000  0.000  0.000  0.000  0.520
   3.30667    -15.017695  0.446  0.028  0.036  0.010  0.000  0.000  0.000  0.000  0.000  0.520
   3.33553    -15.138876  0.448  0.026  0.036  0.008  0.000  0.000  0.000  0.000  0.000  0.518
   3.36438    -15.255288  0.450  0.024  0.036  0.008  0.000  0.000  0.000  0.000  0.000  0.518
