      #Energy        tdos
     -17.42757       0.00000
     -17.41257       0.00000
     -17.39857       0.00000
     -17.38457       0.00000
     -17.37057       0.00000
     -17.35657       0.00000
     -17.34157       0.00000
     -17.32757       0.00000
     -17.31357       0.00000
     -17.29957       0.00000
     -17.28457       0.00000
     -17.27057       0.00000
     -17.25657       0.00000
     -17.24257       0.00000
     -17.22757       0.00000
     -17.21357       0.00000
     -17.19957       0.00000
     -17.18557       0.00000
     -17.17057       0.00000
     -17.15657       0.00000
     -17.14257       0.00000
     -17.12857       0.00000
     -17.11357       0.00000
     -17.09957       0.00000
     -17.08557       0.00000
     -17.07157       0.00000
     -17.05757       0.00000
     -17.04257       0.00000
     -17.02857       0.00000
     -17.01457       0.00000
     -17.00057       0.00000
     -16.98557       0.00000
     -16.97157       0.00000
     -16.95757       0.00000
     -16.94357       0.00000
     -16.92857       0.00000
     -16.91457       0.00000
     -16.90057       0.00000
     -16.88657       0.00000
     -16.87157       0.00000
     -16.85757       0.00000
     -16.84357       0.00001
     -16.82957       0.00006
     -16.81457       0.00030
     -16.80057       0.00136
     -16.78657       0.00535
     -16.77257       0.01832
     -16.75857       0.05488
     -16.74357       0.14490
     -16.72957       0.34000
     -16.71557       0.71470
     -16.70157       1.35600
     -16.68657       2.34000
     -16.67257       3.69400
     -16.65857       5.37100
     -16.64457       7.24900
     -16.62957       9.17700
     -16.61557      11.05000
     -16.60157      12.86000
     -16.58757      14.70000
     -16.57257      16.66000
     -16.55857      18.67000
     -16.54457      20.46000
     -16.53057      21.62000
     -16.51557      21.78000
     -16.50157      20.89000
     -16.48757      19.31000
     -16.47357      17.66000
     -16.45957      16.58000
     -16.44457      16.34000
     -16.43057      16.77000
     -16.41657      17.36000
     -16.40257      17.59000
     -16.38757      17.24000
     -16.37357      16.48000
     -16.35957      15.78000
     -16.34557      15.65000
     -16.33057      16.39000
     -16.31657      17.92000
     -16.30257      19.78000
     -16.28857      21.33000
     -16.27357      22.04000
     -16.25957      21.75000
     -16.24557      20.71000
     -16.23157      19.37000
     -16.21657      18.14000
     -16.20257      17.25000
     -16.18857      16.79000
     -16.17457      16.71000
     -16.16057      16.87000
     -16.14557      17.08000
     -16.13157      17.14000
     -16.11757      16.96000
     -16.10357      16.55000
     -16.08857      16.00000
     -16.07457      15.38000
     -16.06057      14.76000
     -16.04657      14.17000
     -16.03157      13.57000
     -16.01757      12.85000
     -16.00357      11.87000
     -15.98957      10.59000
     -15.97457       9.08000
     -15.96057       7.53800
     -15.94657       6.16500
     -15.93257       5.08200
     -15.91757       4.27400
     -15.90357       3.62200
     -15.88957       2.99400
     -15.87557       2.33000
     -15.86157       1.66000
     -15.84657       1.06500
     -15.83257       0.60790
     -15.81857       0.30710
     -15.80457       0.13660
     -15.78957       0.05326
     -15.77557       0.01815
     -15.76157       0.00539
     -15.74757       0.00139
     -15.73257       0.00031
     -15.71857       0.00006
     -15.70457       0.00001
     -15.69057       0.00000
     -15.67557       0.00000
     -15.66157       0.00000
     -15.64757       0.00000
     -15.63357       0.00000
     -15.61857       0.00000
     -15.60457       0.00000
     -15.59057       0.00000
     -15.57657       0.00000
     -15.56257       0.00000
     -15.54757       0.00000
     -15.53357       0.00000
     -15.51957       0.00000
     -15.50557       0.00000
     -15.49057       0.00000
