#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 540  33
# Band-Index:    1
   1.37909    -12.887930  0.648  0.014  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.676
   1.39501    -12.898264  0.648  0.013  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.676
   1.41094    -12.910304  0.648  0.013  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.674
   1.42686    -12.924103  0.647  0.013  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.673
   1.44279    -12.939483  0.645  0.013  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.673
   1.45872    -12.956607  0.644  0.013  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.672
   1.47464    -12.975332  0.643  0.013  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.669
   1.49057    -12.995486  0.642  0.013  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.668
   1.50649    -13.017017  0.641  0.013  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.667
   1.52242    -13.039805  0.639  0.013  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.665
   1.53834    -13.063807  0.639  0.013  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.662
   1.55427    -13.088864  0.636  0.013  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.662
   1.57020    -13.114844  0.636  0.013  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.660
   1.58612    -13.141674  0.634  0.013  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.658
   1.60205    -13.169189  0.633  0.012  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.656
   1.61797    -13.197230  0.633  0.012  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.654
   1.63390    -13.225836  0.631  0.012  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.652
   1.64982    -13.254718  0.629  0.012  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.650
   1.66575    -13.283827  0.628  0.012  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.648
   1.68167    -13.313059  0.626  0.012  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.646
   1.69760    -13.342313  0.625  0.010  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.644
   1.71353    -13.371494  0.625  0.010  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.643
   1.72945    -13.400512  0.624  0.010  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.641
   1.74538    -13.429272  0.622  0.010  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.641
   1.76130    -13.457732  0.621  0.010  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.639
   1.77723    -13.485854  0.621  0.010  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.638
   1.79315    -13.513439  0.620  0.009  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.636
   1.80908    -13.540505  0.618  0.009  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.634
   1.82501    -13.566932  0.619  0.008  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.632
   1.84093    -13.592723  0.617  0.008  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.631
   1.85686    -13.617805  0.616  0.007  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.631
   1.87278    -13.642106  0.616  0.007  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.629
   1.88871    -13.665627  0.614  0.006  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.627
   1.90463    -13.688305  0.615  0.006  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.628
   1.92056    -13.710146  0.613  0.006  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.626
   1.93648    -13.730996  0.614  0.006  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.626
   1.95241    -13.750919  0.612  0.006  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.624
   1.96834    -13.769852  0.612  0.006  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.622
   1.98426    -13.787768  0.610  0.005  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.622
   2.00019    -13.804638  0.611  0.005  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.623
   2.01611    -13.820451  0.611  0.005  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.621
   2.03204    -13.835165  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.621
   2.04796    -13.848769  0.610  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.619
   2.06389    -13.861266  0.610  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.619
   2.07982    -13.872613  0.610  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.619
   2.09574    -13.882775  0.608  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.619
   2.11167    -13.891809  0.608  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.617
   2.12759    -13.899641  0.608  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.617
   2.14352    -13.906245  0.608  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.617
   2.15944    -13.911683  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.617
   2.17537    -13.915914  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.19129    -13.918933  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.20722    -13.920736  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.22315    -13.921323  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.22315    -13.921323  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.23213    -13.921100  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.24112    -13.920346  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.25011    -13.919059  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.25909    -13.917240  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.26808    -13.914889  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.27707    -13.912004  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.28605    -13.908588  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.29504    -13.904710  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.30403    -13.900229  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.31301    -13.895216  0.609  0.004  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   2.32200    -13.889671  0.609  0.004  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.33099    -13.883594  0.609  0.004  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.33998    -13.876986  0.609  0.004  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.34896    -13.869848  0.609  0.004  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.35795    -13.862178  0.609  0.004  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.36694    -13.853980  0.609  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.37592    -13.845251  0.609  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.38491    -13.835994  0.609  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.39390    -13.826217  0.609  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.40288    -13.815913  0.609  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.41187    -13.805082  0.609  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.42086    -13.793723  0.609  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.42984    -13.781872  0.606  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.43883    -13.769398  0.606  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.618
   2.44782    -13.756456  0.606  0.004  0.003  0.004  0.000  0.000  0.000  0.000  0.000  0.621
