#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index    1
   1.79656    -24.294909  0.000  0.000  0.000  0.000  0.231  0.076  0.163  0.315  0.199  0.983
   1.75231    -24.294794  0.000  0.000  0.000  0.000  0.232  0.076  0.162  0.316  0.198  0.984
   1.75231    -24.294794  0.000  0.000  0.000  0.000  0.232  0.076  0.162  0.316  0.198  0.984
   1.70190    -24.294746  0.000  0.000  0.000  0.000  0.232  0.075  0.162  0.315  0.199  0.983
   1.65149    -24.294549  0.000  0.000  0.000  0.000  0.234  0.074  0.159  0.314  0.201  0.983
   1.60108    -24.294296  0.000  0.000  0.000  0.000  0.234  0.074  0.159  0.313  0.202  0.983
   1.55068    -24.293675  0.000  0.000  0.000  0.000  0.236  0.074  0.158  0.312  0.204  0.984
   1.50027    -24.293567  0.000  0.000  0.000  0.000  0.240  0.073  0.154  0.309  0.207  0.984
   1.44986    -24.293490  0.000  0.000  0.000  0.000  0.245  0.070  0.150  0.307  0.212  0.984
   1.39945    -24.293176  0.000  0.000  0.000  0.000  0.249  0.069  0.144  0.302  0.218  0.984
   1.34904    -24.292727  0.000  0.000  0.000  0.000  0.257  0.066  0.137  0.297  0.227  0.983
   1.29863    -24.292398  0.000  0.000  0.000  0.000  0.266  0.063  0.129  0.291  0.234  0.983
   1.24822    -24.291976  0.000  0.000  0.000  0.000  0.275  0.060  0.120  0.283  0.245  0.984
   1.19781    -24.291423  0.000  0.000  0.000  0.000  0.287  0.055  0.108  0.275  0.258  0.983
   1.14740    -24.291019  0.000  0.000  0.000  0.000  0.304  0.052  0.091  0.258  0.278  0.984
   1.09699    -24.290984  0.000  0.000  0.000  0.000  0.326  0.050  0.069  0.237  0.301  0.983
   1.04658    -24.291061  0.000  0.000  0.000  0.000  0.346  0.049  0.049  0.214  0.325  0.984
   0.99617    -24.291782  0.000  0.000  0.000  0.000  0.367  0.056  0.027  0.182  0.351  0.983
   0.94576    -24.292054  0.000  0.000  0.000  0.000  0.382  0.070  0.011  0.149  0.372  0.984
   0.89535    -24.292195  0.000  0.000  0.000  0.000  0.388  0.089  0.003  0.122  0.382  0.984
   0.84494    -24.292363  0.000  0.000  0.000  0.000  0.389  0.096  0.000  0.111  0.387  0.983
   0.79454    -24.293575  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.79454    -24.293575  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.75272    -24.292093  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.71090    -24.291864  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   0.66908    -24.291792  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.983
   0.62726    -24.291223  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.983
   0.58545    -24.290478  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.54363    -24.289067  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.50181    -24.288726  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.45999    -24.288016  0.000  0.000  0.000  0.000  0.389  0.103  0.000  0.103  0.389  0.984
   0.41818    -24.286938  0.000  0.000  0.000  0.000  0.389  0.102  0.000  0.102  0.389  0.984
   0.37636    -24.285794  0.000  0.000  0.000  0.000  0.390  0.102  0.000  0.102  0.390  0.984
   0.33454    -24.284705  0.000  0.000  0.000  0.000  0.390  0.102  0.000  0.102  0.390  0.984
   0.29272    -24.283584  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.25091    -24.282523  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.20909    -24.281229  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.16727    -24.280367  0.000  0.000  0.000  0.000  0.392  0.101  0.000  0.101  0.392  0.984
   0.12545    -24.279705  0.000  0.000  0.000  0.000  0.391  0.101  0.000  0.101  0.391  0.984
   0.08364    -24.279187  0.000  0.000  0.000  0.000  0.392  0.101  0.000  0.101  0.392  0.984
   0.04182    -24.278880  0.000  0.000  0.000  0.000  0.391  0.100  0.000  0.100  0.391  0.984
   0.00000    -24.278518  0.000  0.000  0.000  0.000  0.392  0.100  0.000  0.100  0.392  0.984
 
# Band-Index    3
   0.00000    -24.259899  0.000  0.000  0.000  0.000  0.000  0.304  0.376  0.304  0.000  0.984
   0.04182    -24.260203  0.000  0.000  0.000  0.000  0.000  0.304  0.376  0.304  0.000  0.984
   0.08364    -24.260880  0.000  0.000  0.000  0.000  0.000  0.304  0.376  0.304  0.000  0.984
   0.12545    -24.261952  0.000  0.000  0.000  0.000  0.000  0.304  0.376  0.304  0.000  0.984
   0.16727    -24.263196  0.000  0.000  0.000  0.000  0.000  0.304  0.374  0.304  0.000  0.984
   0.20909    -24.264822  0.000  0.000  0.000  0.000  0.000  0.304  0.374  0.304  0.000  0.984
   0.25091    -24.266846  0.000  0.000  0.000  0.000  0.000  0.306  0.372  0.306  0.000  0.984
   0.29272    -24.268588  0.000  0.000  0.000  0.000  0.000  0.306  0.372  0.306  0.000  0.984
   0.33454    -24.270385  0.000  0.000  0.000  0.000  0.000  0.306  0.370  0.306  0.000  0.984
   0.37636    -24.271545  0.000  0.000  0.000  0.000  0.000  0.306  0.368  0.306  0.000  0.984
   0.41818    -24.273605  0.000  0.000  0.000  0.000  0.000  0.308  0.368  0.308  0.000  0.984
   0.45999    -24.275459  0.000  0.000  0.000  0.000  0.000  0.308  0.366  0.308  0.000  0.984
   0.50181    -24.276860  0.000  0.000  0.000  0.000  0.000  0.308  0.366  0.308  0.000  0.984
   0.54363    -24.277488  0.000  0.000  0.000  0.000  0.000  0.308  0.364  0.308  0.000  0.984
   0.58545    -24.279464  0.000  0.000  0.000  0.000  0.000  0.310  0.364  0.310  0.000  0.984
   0.62726    -24.280596  0.000  0.000  0.000  0.000  0.000  0.310  0.364  0.310  0.000  0.984
   0.66908    -24.281436  0.000  0.000  0.000  0.000  0.000  0.310  0.362  0.310  0.000  0.984
   0.71090    -24.280800  0.000  0.000  0.000  0.000  0.000  0.310  0.362  0.310  0.000  0.984
   0.75272    -24.281195  0.000  0.000  0.000  0.000  0.000  0.310  0.362  0.310  0.000  0.984
   0.79454    -24.282597  0.000  0.000  0.000  0.000  0.000  0.310  0.362  0.310  0.000  0.984
   0.79454    -24.282597  0.000  0.000  0.000  0.000  0.000  0.310  0.362  0.310  0.000  0.984
   0.84494    -24.281706  0.000  0.000  0.000  0.000  0.001  0.317  0.362  0.302  0.002  0.983
   0.89535    -24.281031  0.000  0.000  0.000  0.000  0.002  0.324  0.359  0.292  0.007  0.984
   0.94576    -24.280577  0.000  0.000  0.000  0.000  0.009  0.340  0.351  0.265  0.018  0.983
   0.99617    -24.279559  0.000  0.000  0.000  0.000  0.025  0.354  0.335  0.230  0.039  0.984
   1.04658    -24.277360  0.000  0.000  0.000  0.000  0.048  0.358  0.312  0.199  0.066  0.984
   1.09699    -24.275350  0.000  0.000  0.000  0.000  0.071  0.356  0.292  0.175  0.091  0.984
   1.14740    -24.272386  0.000  0.000  0.000  0.000  0.096  0.350  0.269  0.153  0.117  0.984
   1.19781    -24.269759  0.000  0.000  0.000  0.000  0.118  0.342  0.250  0.135  0.138  0.985
   1.24822    -24.267221  0.000  0.000  0.000  0.000  0.135  0.333  0.235  0.126  0.155  0.984
   1.29863    -24.264835  0.000  0.000  0.000  0.000  0.152  0.324  0.221  0.117  0.171  0.984
   1.34904    -24.263075  0.000  0.000  0.000  0.000  0.167  0.315  0.208  0.110  0.184  0.985
   1.39945    -24.263085  0.000  0.000  0.000  0.000  0.181  0.307  0.196  0.102  0.197  0.984
   1.44986    -24.263478  0.000  0.000  0.000  0.000  0.189  0.302  0.190  0.098  0.204  0.984
   1.50027    -24.264284  0.000  0.000  0.000  0.000  0.196  0.299  0.185  0.095  0.209  0.984
   1.55068    -24.264781  0.000  0.000  0.000  0.000  0.199  0.299  0.182  0.092  0.212  0.984
   1.60108    -24.266637  0.000  0.000  0.000  0.000  0.202  0.298  0.179  0.089  0.215  0.984
   1.65149    -24.267782  0.000  0.000  0.000  0.000  0.206  0.297  0.175  0.086  0.219  0.984
   1.70190    -24.268389  0.000  0.000  0.000  0.000  0.207  0.298  0.173  0.085  0.221  0.984
   1.75231    -24.268635  0.000  0.000  0.000  0.000  0.208  0.298  0.172  0.084  0.220  0.984
   1.75231    -24.268635  0.000  0.000  0.000  0.000  0.208  0.298  0.172  0.084  0.220  0.984
   1.79656    -24.268581  0.000  0.000  0.000  0.000  0.207  0.297  0.172  0.085  0.221  0.984
   1.84082    -24.268063  0.000  0.000  0.000  0.000  0.207  0.295  0.173  0.087  0.220  0.984
   1.88507    -24.267594  0.000  0.000  0.000  0.000  0.208  0.291  0.173  0.090  0.221  0.984
   1.92932    -24.267060  0.000  0.000  0.000  0.000  0.209  0.286  0.172  0.095  0.221  0.984
   1.97357    -24.266159  0.000  0.000  0.000  0.000  0.209  0.282  0.173  0.101  0.219  0.984
   2.01782    -24.265098  0.000  0.000  0.000  0.000  0.210  0.275  0.172  0.107  0.220  0.984
   2.06207    -24.263971  0.000  0.000  0.000  0.000  0.212  0.268  0.171  0.112  0.221  0.984
   2.10632    -24.262531  0.000  0.000  0.000  0.000  0.213  0.260  0.170  0.120  0.221  0.984
   2.15058    -24.261113  0.000  0.000  0.000  0.000  0.214  0.250  0.170  0.129  0.221  0.984
   2.19483    -24.259760  0.000  0.000  0.000  0.000  0.218  0.238  0.167  0.137  0.224  0.984
   2.23908    -24.258618  0.000  0.000  0.000  0.000  0.222  0.226  0.164  0.146  0.227  0.984
   2.28333    -24.257738  0.000  0.000  0.000  0.000  0.224  0.212  0.162  0.157  0.229  0.985
   2.32758    -24.257128  0.000  0.000  0.000  0.000  0.226  0.199  0.161  0.169  0.230  0.985
   2.37183    -24.256951  0.000  0.000  0.000  0.000  0.225  0.187  0.163  0.182  0.227  0.984
   2.41609    -24.257095  0.000  0.000  0.000  0.000  0.223  0.174  0.167  0.199  0.222  0.984
   2.46034    -24.257691  0.000  0.000  0.000  0.000  0.219  0.160  0.171  0.216  0.218  0.984
   2.50459    -24.258270  0.000  0.000  0.000  0.000  0.216  0.150  0.175  0.231  0.212  0.984
   2.54884    -24.258420  0.000  0.000  0.000  0.000  0.215  0.141  0.178  0.242  0.209  0.984
   2.59309    -24.258804  0.000  0.000  0.000  0.000  0.214  0.138  0.178  0.246  0.208  0.984
   2.59309    -24.258804  0.000  0.000  0.000  0.000  0.214  0.138  0.178  0.246  0.208  0.984
   2.63734    -24.259031  0.000  0.000  0.000  0.000  0.212  0.138  0.181  0.247  0.205  0.985
   2.68159    -24.259862  0.000  0.000  0.000  0.000  0.201  0.142  0.191  0.256  0.195  0.985
   2.72585    -24.261400  0.000  0.000  0.000  0.000  0.188  0.149  0.203  0.264  0.181  0.984
   2.77010    -24.262983  0.000  0.000  0.000  0.000  0.168  0.161  0.221  0.274  0.161  0.984
   2.81435    -24.264813  0.000  0.000  0.000  0.000  0.147  0.172  0.239  0.286  0.141  0.984
   2.85860    -24.266856  0.000  0.000  0.000  0.000  0.127  0.187  0.258  0.295  0.120  0.984
   2.90285    -24.268629  0.000  0.000  0.000  0.000  0.108  0.199  0.274  0.303  0.102  0.984
   2.94710    -24.270863  0.000  0.000  0.000  0.000  0.087  0.215  0.292  0.309  0.080  0.984
   2.99135    -24.272801  0.000  0.000  0.000  0.000  0.067  0.232  0.309  0.314  0.061  0.984
   3.03561    -24.274635  0.000  0.000  0.000  0.000  0.049  0.249  0.325  0.316  0.044  0.984
   3.07986    -24.276153  0.000  0.000  0.000  0.000  0.038  0.260  0.334  0.318  0.033  0.984
   3.12411    -24.277620  0.000  0.000  0.000  0.000  0.027  0.272  0.343  0.318  0.024  0.984
   3.16836    -24.278752  0.000  0.000  0.000  0.000  0.019  0.283  0.349  0.317  0.016  0.984
   3.21261    -24.279598  0.000  0.000  0.000  0.000  0.012  0.292  0.355  0.316  0.010  0.984
   3.25686    -24.280451  0.000  0.000  0.000  0.000  0.007  0.299  0.358  0.315  0.006  0.984
