#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60  60
# Band-Index:    1
   2.163   -50.685  0.000  0.157  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.157
   2.216   -50.685  0.000  0.147  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.146
   2.269   -50.686  0.000  0.184  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.184
   2.322   -50.685  0.000  0.000  0.000  0.033  0.000  0.000  0.000  0.000  0.000  0.034
   2.375   -50.686  0.000  0.000  0.000  0.175  0.000  0.000  0.000  0.000  0.000  0.175
# Band-Index:    4
   2.375   -50.686  0.000 -0.001  0.000 -0.175  0.000  0.000  0.000  0.000  0.000 -0.175
   2.322   -50.685  0.000  0.000  0.000 -0.033  0.000  0.000  0.000  0.000  0.000 -0.034
   2.269   -50.686  0.000 -0.184  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.184
   2.216   -50.685  0.000 -0.147  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.146
   2.163   -50.685  0.000 -0.157  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.157
   2.111   -50.686  0.000  0.002  0.000 -0.013  0.000  0.000  0.000  0.000  0.000 -0.012
   2.058   -50.684  0.000  0.000 -0.001 -0.257  0.000  0.000  0.000  0.000  0.000 -0.258
   2.005   -50.685  0.000  0.000  0.000 -0.228  0.000  0.000  0.000  0.000  0.000 -0.228
   1.952   -50.684  0.000  0.000  0.000 -0.271  0.000  0.000  0.000  0.000  0.000 -0.271
   1.899   -50.684  0.000  0.000  0.000 -0.180  0.000  0.000  0.000  0.000  0.000 -0.180
   1.846   -50.684  0.000  0.000  0.000 -0.206  0.000  0.000  0.000  0.000  0.000 -0.206
   1.794   -50.684  0.000  0.000  0.000 -0.299  0.000  0.000  0.000  0.000  0.000 -0.299
   1.741   -50.684  0.000  0.000  0.000 -0.581  0.000  0.000  0.000  0.000  0.000 -0.582
   1.688   -50.684  0.000  0.000 -0.001 -0.375  0.000  0.000  0.000  0.000  0.000 -0.376
   1.635   -50.684  0.000  0.000  0.000 -0.328  0.000  0.000  0.000  0.000  0.000 -0.328
   1.582   -50.683  0.000  0.000 -0.001 -0.312  0.000  0.000  0.000  0.000  0.000 -0.312
   1.530   -50.684  0.000  0.000  0.000 -0.178  0.000  0.000  0.000  0.000  0.000 -0.178
   1.477   -50.684  0.000  0.000  0.000 -0.230  0.000  0.000  0.000  0.000  0.000 -0.230
   1.424   -50.684  0.000  0.000  0.000 -0.166  0.000  0.000  0.000  0.000  0.000 -0.166
   1.371   -50.685  0.000  0.000  0.000 -0.150  0.000  0.000  0.000  0.000  0.000 -0.150
   1.371   -50.685  0.000  0.000  0.000 -0.148  0.000  0.000  0.000  0.000  0.000 -0.148
   1.345   -50.685  0.000  0.140  0.000  0.222  0.000  0.000  0.000  0.000  0.000  0.362
   1.318   -50.685  0.000  0.178  0.000  0.600  0.000  0.000  0.000  0.000  0.000  0.778
   1.292   -50.684  0.000 -0.213  0.000 -0.772  0.000  0.000  0.000  0.000  0.000 -0.984
   1.265   -50.684  0.000 -0.213  0.000 -0.733  0.000  0.000  0.000  0.000  0.000 -0.946
   1.239   -50.684  0.000 -0.229  0.000 -0.766  0.000  0.000  0.000  0.000  0.000 -0.996
   1.213   -50.684  0.000 -0.238  0.000 -0.758  0.000  0.000  0.000  0.000  0.000 -0.996
   1.186   -50.684  0.000 -0.236  0.000 -0.757  0.000  0.000  0.000  0.000  0.000 -0.993
   1.160   -50.684  0.000 -0.229  0.000 -0.699  0.000  0.000  0.000  0.000  0.000 -0.926
   1.133   -50.684  0.000  0.230  0.000  0.732  0.000  0.000  0.000  0.000  0.000  0.962
   1.107   -50.684  0.000  0.233  0.000  0.762  0.000  0.000  0.000  0.000  0.000  0.996
   1.080   -50.684  0.000  0.224  0.000  0.726  0.000  0.000  0.000  0.000  0.000  0.950
   1.054   -50.684  0.000  0.234  0.000  0.760  0.000  0.000  0.000  0.000  0.000  0.994
   1.028   -50.684  0.000  0.236  0.000  0.754  0.000  0.000  0.000  0.000  0.000  0.990
   1.001   -50.684  0.000  0.231  0.000  0.763  0.000  0.000  0.000  0.000  0.000  0.994
